participant_id,block,sequence,period_1_condition,period_2_condition,period_1_task_order,period_2_task_order
P018,5,uniform-section-adaptive,uniform,section-adaptive,nearby|wifi|emergency|checkin|activity|checkout|tickets|weather|restaurant,restaurant|weather|tickets|checkout|activity|checkin|emergency|wifi|nearby
P019,5,section-adaptive-uniform,section-adaptive,uniform,wifi|emergency|checkin|activity|checkout|tickets|weather|restaurant|nearby,tickets|checkout|activity|checkin|emergency|wifi|nearby|restaurant|weather
P020,5,uniform-section-adaptive,uniform,section-adaptive,emergency|checkin|activity|checkout|tickets|weather|restaurant|nearby|wifi,activity|checkin|emergency|wifi|nearby|restaurant|weather|tickets|checkout
P021,6,uniform-section-adaptive,uniform,section-adaptive,checkin|activity|checkout|tickets|weather|restaurant|nearby|wifi|emergency,tickets|checkout|activity|checkin|emergency|wifi|nearby|restaurant|weather
P022,6,section-adaptive-uniform,section-adaptive,uniform,activity|checkout|tickets|weather|restaurant|nearby|wifi|emergency|checkin,activity|checkin|emergency|wifi|nearby|restaurant|weather|tickets|checkout
P023,6,section-adaptive-uniform,section-adaptive,uniform,checkout|tickets|weather|restaurant|nearby|wifi|emergency|checkin|activity,emergency|wifi|nearby|restaurant|weather|tickets|checkout|activity|checkin
P024,6,uniform-section-adaptive,uniform,section-adaptive,tickets|weather|restaurant|nearby|wifi|emergency|checkin|activity|checkout,nearby|restaurant|weather|tickets|checkout|activity|checkin|emergency|wifi
P025,7,uniform-section-adaptive,uniform,section-adaptive,weather|restaurant|nearby|wifi|emergency|checkin|activity|checkout|tickets,emergency|wifi|nearby|restaurant|weather|tickets|checkout|activity|checkin
P026,7,section-adaptive-uniform,section-adaptive,uniform,restaurant|nearby|wifi|emergency|checkin|activity|checkout|tickets|weather,nearby|restaurant|weather|tickets|checkout|activity|checkin|emergency|wifi
P027,7,section-adaptive-uniform,section-adaptive,uniform,nearby|wifi|emergency|checkin|activity|checkout|tickets|weather|restaurant,weather|tickets|checkout|activity|checkin|emergency|wifi|nearby|restaurant
P028,7,uniform-section-adaptive,uniform,section-adaptive,wifi|emergency|checkin|activity|checkout|tickets|weather|restaurant|nearby,checkout|activity|checkin|emergency|wifi|nearby|restaurant|weather|tickets
P029,8,section-adaptive-uniform,section-adaptive,uniform,emergency|checkin|activity|checkout|tickets|weather|restaurant|nearby|wifi,weather|tickets|checkout|activity|checkin|emergency|wifi|nearby|restaurant
P030,8,uniform-section-adaptive,uniform,section-adaptive,checkin|activity|checkout|tickets|weather|restaurant|nearby|wifi|emergency,checkout|activity|checkin|emergency|wifi|nearby|restaurant|weather|tickets
P031,8,uniform-section-adaptive,uniform,section-adaptive,activity|checkout|tickets|weather|restaurant|nearby|wifi|emergency|checkin,checkin|emergency|wifi|nearby|restaurant|weather|tickets|checkout|activity
P032,8,section-adaptive-uniform,section-adaptive,uniform,checkout|tickets|weather|restaurant|nearby|wifi|emergency|checkin|activity,wifi|nearby|restaurant|weather|tickets|checkout|activity|checkin|emergency
P033,9,uniform-section-adaptive,uniform,section-adaptive,tickets|weather|restaurant|nearby|wifi|emergency|checkin|activity|checkout,checkin|emergency|wifi|nearby|restaurant|weather|tickets|checkout|activity
P034,9,uniform-section-adaptive,uniform,section-adaptive,weather|restaurant|nearby|wifi|emergency|checkin|activity|checkout|tickets,wifi|nearby|restaurant|weather|tickets|checkout|activity|checkin|emergency
P035,9,section-adaptive-uniform,section-adaptive,uniform,restaurant|nearby|wifi|emergency|checkin|activity|checkout|tickets|weather,restaurant|weather|tickets|checkout|activity|checkin|emergency|wifi|nearby
P036,9,section-adaptive-uniform,section-adaptive,uniform,nearby|wifi|emergency|checkin|activity|checkout|tickets|weather|restaurant,tickets|checkout|activity|checkin|emergency|wifi|nearby|restaurant|weather
P037,10,section-adaptive-uniform,section-adaptive,uniform,wifi|emergency|checkin|activity|checkout|tickets|weather|restaurant|nearby,restaurant|weather|tickets|checkout|activity|checkin|emergency|wifi|nearby
P038,10,uniform-section-adaptive,uniform,section-adaptive,emergency|checkin|activity|checkout|tickets|weather|restaurant|nearby|wifi,tickets|checkout|activity|checkin|emergency|wifi|nearby|restaurant|weather
P039,10,uniform-section-adaptive,uniform,section-adaptive,checkin|activity|checkout|tickets|weather|restaurant|nearby|wifi|emergency,activity|checkin|emergency|wifi|nearby|restaurant|weather|tickets|checkout
P040,10,section-adaptive-uniform,section-adaptive,uniform,activity|checkout|tickets|weather|restaurant|nearby|wifi|emergency|checkin,emergency|wifi|nearby|restaurant|weather|tickets|checkout|activity|checkin
P041,11,uniform-section-adaptive,uniform,section-adaptive,checkout|tickets|weather|restaurant|nearby|wifi|emergency|checkin|activity,activity|checkin|emergency|wifi|nearby|restaurant|weather|tickets|checkout
P042,11,uniform-section-adaptive,uniform,section-adaptive,tickets|weather|restaurant|nearby|wifi|emergency|checkin|activity|checkout,emergency|wifi|nearby|restaurant|weather|tickets|checkout|activity|checkin
P043,11,section-adaptive-uniform,section-adaptive,uniform,weather|restaurant|nearby|wifi|emergency|checkin|activity|checkout|tickets,nearby|restaurant|weather|tickets|checkout|activity|checkin|emergency|wifi
P044,11,section-adaptive-uniform,section-adaptive,uniform,restaurant|nearby|wifi|emergency|checkin|activity|checkout|tickets|weather,weather|tickets|checkout|activity|checkin|emergency|wifi|nearby|restaurant
P045,12,uniform-section-adaptive,uniform,section-adaptive,nearby|wifi|emergency|checkin|activity|checkout|tickets|weather|restaurant,nearby|restaurant|weather|tickets|checkout|activity|checkin|emergency|wifi
P046,12,uniform-section-adaptive,uniform,section-adaptive,wifi|emergency|checkin|activity|checkout|tickets|weather|restaurant|nearby,weather|tickets|checkout|activity|checkin|emergency|wifi|nearby|restaurant
P047,12,section-adaptive-uniform,section-adaptive,uniform,emergency|checkin|activity|checkout|tickets|weather|restaurant|nearby|wifi,checkout|activity|checkin|emergency|wifi|nearby|restaurant|weather|tickets
P048,12,section-adaptive-uniform,section-adaptive,uniform,checkin|activity|checkout|tickets|weather|restaurant|nearby|wifi|emergency,checkin|emergency|wifi|nearby|restaurant|weather|tickets|checkout|activity
P049,13,section-adaptive-uniform,section-adaptive,uniform,activity|checkout|tickets|weather|restaurant|nearby|wifi|emergency|checkin,checkout|activity|checkin|emergency|wifi|nearby|restaurant|weather|tickets
P050,13,uniform-section-adaptive,uniform,section-adaptive,checkout|tickets|weather|restaurant|nearby|wifi|emergency|checkin|activity,checkin|emergency|wifi|nearby|restaurant|weather|tickets|checkout|activity
P051,13,uniform-section-adaptive,uniform,section-adaptive,tickets|weather|restaurant|nearby|wifi|emergency|checkin|activity|checkout,wifi|nearby|restaurant|weather|tickets|checkout|activity|checkin|emergency
P052,13,section-adaptive-uniform,section-adaptive,uniform,weather|restaurant|nearby|wifi|emergency|checkin|activity|checkout|tickets,restaurant|weather|tickets|checkout|activity|checkin|emergency|wifi|nearby
P053,14,section-adaptive-uniform,section-adaptive,uniform,restaurant|nearby|wifi|emergency|checkin|activity|checkout|tickets|weather,wifi|nearby|restaurant|weather|tickets|checkout|activity|checkin|emergency
P054,14,section-adaptive-uniform,section-adaptive,uniform,nearby|wifi|emergency|checkin|activity|checkout|tickets|weather|restaurant,restaurant|weather|tickets|checkout|activity|checkin|emergency|wifi|nearby
P055,14,uniform-section-adaptive,uniform,section-adaptive,wifi|emergency|checkin|activity|checkout|tickets|weather|restaurant|nearby,tickets|checkout|activity|checkin|emergency|wifi|nearby|restaurant|weather
P056,14,uniform-section-adaptive,uniform,section-adaptive,emergency|checkin|activity|checkout|tickets|weather|restaurant|nearby|wifi,activity|checkin|emergency|wifi|nearby|restaurant|weather|tickets|checkout
P057,15,section-adaptive-uniform,section-adaptive,uniform,checkin|activity|checkout|tickets|weather|restaurant|nearby|wifi|emergency,tickets|checkout|activity|checkin|emergency|wifi|nearby|restaurant|weather
P058,15,uniform-section-adaptive,uniform,section-adaptive,activity|checkout|tickets|weather|restaurant|nearby|wifi|emergency|checkin,activity|checkin|emergency|wifi|nearby|restaurant|weather|tickets|checkout
P059,15,section-adaptive-uniform,section-adaptive,uniform,checkout|tickets|weather|restaurant|nearby|wifi|emergency|checkin|activity,emergency|wifi|nearby|restaurant|weather|tickets|checkout|activity|checkin
P060,15,uniform-section-adaptive,uniform,section-adaptive,tickets|weather|restaurant|nearby|wifi|emergency|checkin|activity|checkout,nearby|restaurant|weather|tickets|checkout|activity|checkin|emergency|wifi
P061,16,uniform-section-adaptive,uniform,section-adaptive,weather|restaurant|nearby|wifi|emergency|checkin|activity|checkout|tickets,emergency|wifi|nearby|restaurant|weather|tickets|checkout|activity|checkin
P062,16,section-adaptive-uniform,section-adaptive,uniform,restaurant|nearby|wifi|emergency|checkin|activity|checkout|tickets|weather,nearby|restaurant|weather|tickets|checkout|activity|checkin|emergency|wifi
P063,16,uniform-section-adaptive,uniform,section-adaptive,nearby|wifi|emergency|checkin|activity|checkout|tickets|weather|restaurant,weather|tickets|checkout|activity|checkin|emergency|wifi|nearby|restaurant
P064,16,section-adaptive-uniform,section-adaptive,uniform,wifi|emergency|checkin|activity|checkout|tickets|weather|restaurant|nearby,checkout|activity|checkin|emergency|wifi|nearby|restaurant|weather|tickets
P065,17,uniform-section-adaptive,uniform,section-adaptive,emergency|checkin|activity|checkout|tickets|weather|restaurant|nearby|wifi,weather|tickets|checkout|activity|checkin|emergency|wifi|nearby|restaurant
P066,17,uniform-section-adaptive,uniform,section-adaptive,checkin|activity|checkout|tickets|weather|restaurant|nearby|wifi|emergency,checkout|activity|checkin|emergency|wifi|nearby|restaurant|weather|tickets
P067,17,section-adaptive-uniform,section-adaptive,uniform,activity|checkout|tickets|weather|restaurant|nearby|wifi|emergency|checkin,checkin|emergency|wifi|nearby|restaurant|weather|tickets|checkout|activity
P068,17,section-adaptive-uniform,section-adaptive,uniform,checkout|tickets|weather|restaurant|nearby|wifi|emergency|checkin|activity,wifi|nearby|restaurant|weather|tickets|checkout|activity|checkin|emergency
P069,18,section-adaptive-uniform,section-adaptive,uniform,tickets|weather|restaurant|nearby|wifi|emergency|checkin|activity|checkout,checkin|emergency|wifi|nearby|restaurant|weather|tickets|checkout|activity
P070,18,uniform-section-adaptive,uniform,section-adaptive,weather|restaurant|nearby|wifi|emergency|checkin|activity|checkout|tickets,wifi|nearby|restaurant|weather|tickets|checkout|activity|checkin|emergency
P071,18,uniform-section-adaptive,uniform,section-adaptive,restaurant|nearby|wifi|emergency|checkin|activity|checkout|tickets|weather,restaurant|weather|tickets|checkout|activity|checkin|emergency|wifi|nearby
P072,18,section-adaptive-uniform,section-adaptive,uniform,nearby|wifi|emergency|checkin|activity|checkout|tickets|weather|restaurant,tickets|checkout|activity|checkin|emergency|wifi|nearby|restaurant|weather
P073,19,section-adaptive-uniform,section-adaptive,uniform,wifi|emergency|checkin|activity|checkout|tickets|weather|restaurant|nearby,restaurant|weather|tickets|checkout|activity|checkin|emergency|wifi|nearby
P074,19,uniform-section-adaptive,uniform,section-adaptive,emergency|checkin|activity|checkout|tickets|weather|restaurant|nearby|wifi,tickets|checkout|activity|checkin|emergency|wifi|nearby|restaurant|weather
P075,19,section-adaptive-uniform,section-adaptive,uniform,checkin|activity|checkout|tickets|weather|restaurant|nearby|wifi|emergency,activity|checkin|emergency|wifi|nearby|restaurant|weather|tickets|checkout
P076,19,uniform-section-adaptive,uniform,section-adaptive,activity|checkout|tickets|weather|restaurant|nearby|wifi|emergency|checkin,emergency|wifi|nearby|restaurant|weather|tickets|checkout|activity|checkin
P077,20,uniform-section-adaptive,uniform,section-adaptive,checkout|tickets|weather|restaurant|nearby|wifi|emergency|checkin|activity,activity|checkin|emergency|wifi|nearby|restaurant|weather|tickets|checkout
P078,20,uniform-section-adaptive,uniform,section-adaptive,tickets|weather|restaurant|nearby|wifi|emergency|checkin|activity|checkout,emergency|wifi|nearby|restaurant|weather|tickets|checkout|activity|checkin
P079,20,section-adaptive-uniform,section-adaptive,uniform,weather|restaurant|nearby|wifi|emergency|checkin|activity|checkout|tickets,nearby|restaurant|weather|tickets|checkout|activity|checkin|emergency|wifi
P080,20,section-adaptive-uniform,section-adaptive,uniform,restaurant|nearby|wifi|emergency|checkin|activity|checkout|tickets|weather,weather|tickets|checkout|activity|checkin|emergency|wifi|nearby|restaurant
